renderOverview: 11 styles, 0 emojis.
renderFoundationPage: 38 styles, 0 emojis.
renderRevenue: 4 styles, 0 emojis.
renderRetention: 2 styles, 0 emojis.
renderActionQueue: 27 styles, 3 emojis.
renderAttention: 4 styles, 7 emojis.
renderAttentionOverviewSubTab: 53 styles, 7 emojis.
renderAttentionIdeasSubTab: 19 styles, 5 emojis.
renderAttentionScriptsSubTab: 35 styles, 13 emojis.
renderAttentionProductionSubTab: 10 styles, 2 emojis.
renderAttentionDashboard: 95 styles, 11 emojis.
renderContentStrategyTab: 35 styles, 3 emojis.
renderContentIdeasTab: 27 styles, 8 emojis.
renderPipelineTab: 42 styles, 11 emojis.
renderAttributionTab: 28 styles, 0 emojis.
renderKnowledgeTab: 31 styles, 5 emojis.
renderAuthorityTab: 16 styles, 4 emojis.
renderMarketIntelTab: 13 styles, 4 emojis.
renderOutreachTab: 6 styles, 2 emojis.
renderRecommendationsTab: 5 styles, 2 emojis.
renderConversion: 1 styles, 10 emojis.
renderConversionDashboardSubTab: 23 styles, 3 emojis.
renderConversionPipelineSubTab: 4 styles, 0 emojis.
renderKanbanColumn: 15 styles, 3 emojis.
renderConversionCoachingSubTab: 10 styles, 3 emojis.
renderCoachingResultCard: 22 styles, 1 emojis.
renderConversionObjectionsSubTab: 9 styles, 1 emojis.
renderConversionCloserSubTab: 4 styles, 0 emojis.
renderCloserPrepContent: 111 styles, 11 emojis.
renderConversionHandoffSubTab: 7 styles, 2 emojis.
renderDelivery: 8 styles, 0 emojis.
renderIntelligence: 1 styles, 2 emojis.
renderOperator: 7 styles, 0 emojis.
renderCalendar: 1 styles, 0 emojis.
renderDnaScoreBreakdown: 5 styles, 1 emojis.
renderDnaAlternatives: 7 styles, 2 emojis.
renderDnaVersions: 5 styles, 0 emojis.
renderSVGLineChart: 1 styles, 0 emojis.
renderSVGDonutChart: 1 styles, 0 emojis.
renderGuardrailsResult: 2 styles, 4 emojis.
renderConversionFunnelSubTab: 18 styles, 5 emojis.
renderSimulatedQuestion: 19 styles, 3 emojis.
renderConversionDmQualifierSubTab: 55 styles, 5 emojis.
renderConversionStorySequencesSubTab: 32 styles, 5 emojis.
